"marker","sample","vaccine_status","percent"
"CD172","Minipig_1817_30DPI","vaccinated",28.839154340587
"CD3","Minipig_1817_30DPI","vaccinated",90.3159606598002
"CD4","Minipig_1817_30DPI","vaccinated",33.7644234492372
"CD45RA","Minipig_1817_30DPI","vaccinated",49.6515139781615
"CD8","Minipig_1817_30DPI","vaccinated",20.8588244404863
"SLADQ","Minipig_1817_30DPI","vaccinated",29.6484163246341
"CD172","Minipig_3273_30DPI","control",17.5041676589664
"CD3","Minipig_3273_30DPI","control",82.044931332857
"CD4","Minipig_3273_30DPI","control",30.5914106533302
"CD45RA","Minipig_3273_30DPI","control",45.0932761768675
"CD8","Minipig_3273_30DPI","control",22.3021354290704
"SLADQ","Minipig_3273_30DPI","control",32.8998968008256
"CD172","Minipig_4515_30DPI","vaccinated",28.8516473052752
"CD3","Minipig_4515_30DPI","vaccinated",89.8114644829556
"CD4","Minipig_4515_30DPI","vaccinated",26.3759283945915
"CD45RA","Minipig_4515_30DPI","vaccinated",57.2271948200343
"CD8","Minipig_4515_30DPI","vaccinated",12.5309464863835
"SLADQ","Minipig_4515_30DPI","vaccinated",53.075604646734
"CD172","Minipig_4754_30DPI","control",23.8102702363785
"CD3","Minipig_4754_30DPI","control",80.5473697410496
"CD4","Minipig_4754_30DPI","control",18.060693460405
"CD45RA","Minipig_4754_30DPI","control",63.0635149539156
"CD8","Minipig_4754_30DPI","control",8.76230484669885
"SLADQ","Minipig_4754_30DPI","control",32.5318201768136
"CD172","Minipig_5273_30DPI","vaccinated",15.0540260057384
"CD3","Minipig_5273_30DPI","vaccinated",77.8768084976497
"CD4","Minipig_5273_30DPI","vaccinated",12.8746718759538
"CD45RA","Minipig_5273_30DPI","vaccinated",61.2538917038032
"CD8","Minipig_5273_30DPI","vaccinated",10.292411940663
"SLADQ","Minipig_5273_30DPI","vaccinated",39.6984311092119
"CD172","Minipig_6059_30DPI","vaccinated",41.4197198275862
"CD3","Minipig_6059_30DPI","vaccinated",79.7009698275862
"CD4","Minipig_6059_30DPI","vaccinated",41.9585129310345
"CD45RA","Minipig_6059_30DPI","vaccinated",61.1934267241379
"CD8","Minipig_6059_30DPI","vaccinated",15.6788793103448
"SLADQ","Minipig_6059_30DPI","vaccinated",55.2532327586207
"CD172","Minipig_7488_30DPI","control",18.1721447150627
"CD3","Minipig_7488_30DPI","control",89.5522976274927
"CD4","Minipig_7488_30DPI","control",35.2132103728226
"CD45RA","Minipig_7488_30DPI","control",51.9823441317884
"CD8","Minipig_7488_30DPI","control",17.7898636399464
"SLADQ","Minipig_7488_30DPI","control",32.0012611334437
"CD172","Minipig_7554_30DPI","control",48.1631382316314
"CD3","Minipig_7554_30DPI","control",89.6014943960149
"CD4","Minipig_7554_30DPI","control",36.892901618929
"CD45RA","Minipig_7554_30DPI","control",68.8200498132005
"CD8","Minipig_7554_30DPI","control",19.8318804483188
"SLADQ","Minipig_7554_30DPI","control",54.4209215442092
"CD172","Minipig_9739_30DPI","control",32.656844570202
"CD3","Minipig_9739_30DPI","control",85.5790808859401
"CD4","Minipig_9739_30DPI","control",25.5634696067909
"CD45RA","Minipig_9739_30DPI","control",62.8256415260025
"CD8","Minipig_9739_30DPI","control",7.80563957459264
"SLADQ","Minipig_9739_30DPI","control",46.8826226948971
"CD172","Minipig_9947_30DPI","vaccinated",28.949789376846
"CD3","Minipig_9947_30DPI","vaccinated",85.6969931729047
"CD4","Minipig_9947_30DPI","vaccinated",28.2912894010555
"CD45RA","Minipig_9947_30DPI","vaccinated",39.9070352975355
"CD8","Minipig_9947_30DPI","vaccinated",13.1748414273955
"SLADQ","Minipig_9947_30DPI","vaccinated",35.350796494456
"CD172","Minipig_1817_12wks","vaccinated",2.09135271118116
"CD3","Minipig_1817_12wks","vaccinated",87.373079137999
"CD4","Minipig_1817_12wks","vaccinated",43.6062195011063
"CD45RA","Minipig_1817_12wks","vaccinated",28.5909132240172
"CD8","Minipig_1817_12wks","vaccinated",17.2582062861819
"SLADQ","Minipig_1817_12wks","vaccinated",21.5379019792077
"CD172","Minipig_3273_12wks","control",2.1149352449602
"CD3","Minipig_3273_12wks","control",90.0471305794289
"CD4","Minipig_3273_12wks","control",45.4750683195374
"CD45RA","Minipig_3273_12wks","control",26.3178739752069
"CD8","Minipig_3273_12wks","control",19.6403817972989
"SLADQ","Minipig_3273_12wks","control",17.6284209275615
"CD172","Minipig_4515_12wks","vaccinated",1.6889325767392
"CD3","Minipig_4515_12wks","vaccinated",85.9657745409052
"CD4","Minipig_4515_12wks","vaccinated",43.7603324248246
"CD45RA","Minipig_4515_12wks","vaccinated",32.639292256825
"CD8","Minipig_4515_12wks","vaccinated",13.0646530539297
"SLADQ","Minipig_4515_12wks","vaccinated",17.5371967293687
"CD172","Minipig_4754_12wks","control",3.85192711821352
"CD3","Minipig_4754_12wks","control",70.0644297161859
"CD4","Minipig_4754_12wks","control",54.5620395815532
"CD45RA","Minipig_4754_12wks","control",48.5393621689028
"CD8","Minipig_4754_12wks","control",11.9229614576357
"SLADQ","Minipig_4754_12wks","control",18.3405306791677
"CD172","Minipig_5273_12wks","vaccinated",2.88922572462647
"CD3","Minipig_5273_12wks","vaccinated",75.8127880718904
"CD4","Minipig_5273_12wks","vaccinated",21.8640764685866
"CD45RA","Minipig_5273_12wks","vaccinated",32.734246914344
"CD8","Minipig_5273_12wks","vaccinated",16.020663841371
"SLADQ","Minipig_5273_12wks","vaccinated",23.4200513502645
"CD172","Minipig_6059_12wks","vaccinated",2.00688073394495
"CD3","Minipig_6059_12wks","vaccinated",83.6546731651376
"CD4","Minipig_6059_12wks","vaccinated",57.8913417431193
"CD45RA","Minipig_6059_12wks","vaccinated",43.5170584862385
"CD8","Minipig_6059_12wks","vaccinated",13.0805619266055
"SLADQ","Minipig_6059_12wks","vaccinated",21.3087729357798
"CD172","Minipig_7488_12wks","control",0.434677614102874
"CD3","Minipig_7488_12wks","control",91.1535055944619
"CD4","Minipig_7488_12wks","control",47.927231747565
"CD45RA","Minipig_7488_12wks","control",25.5654833776061
"CD8","Minipig_7488_12wks","control",20.7840296224744
"SLADQ","Minipig_7488_12wks","control",13.8855348949529
"CD172","Minipig_7554_12wks","control",3.7116902183887
"CD3","Minipig_7554_12wks","control",75.7065516608552
"CD4","Minipig_7554_12wks","control",57.719306294733
"CD45RA","Minipig_7554_12wks","control",55.0628555698293
"CD8","Minipig_7554_12wks","control",16.6406680124794
"SLADQ","Minipig_7554_12wks","control",23.9562305010094
"CD172","Minipig_9739_12wks","control",2.24797219003476
"CD3","Minipig_9739_12wks","control",79.3974507531866
"CD4","Minipig_9739_12wks","control",46.5701042873696
"CD45RA","Minipig_9739_12wks","control",43.7427578215527
"CD8","Minipig_9739_12wks","control",14.0440324449594
"SLADQ","Minipig_9739_12wks","control",24.1405948242565
"CD172","Minipig_9947_12wks","vaccinated",2.2138899503248
"CD3","Minipig_9947_12wks","vaccinated",80.2970959113489
"CD4","Minipig_9947_12wks","vaccinated",34.8872755063049
"CD45RA","Minipig_9947_12wks","vaccinated",17.9308368360718
"CD8","Minipig_9947_12wks","vaccinated",13.0254107756974
"SLADQ","Minipig_9947_12wks","vaccinated",19.2228696981276
